"event";"course";"day_-3_date";"day_-2_date";"day_-1_date";"day_0_date";"day_1_date";"day_2_date";"day_3_date";"day_-3_mean_temp";"day_-2_mean_temp";"day_-1_mean_temp";"day_0_mean_temp";"day_1_mean_temp";"day_2_mean_temp";"day_3_mean_temp";"day_-3_precip";"day_-2_precip";"day_-1_precip";"day_0_precip";"day_1_precip";"day_2_precip";"day_3_precip";"day_-3_mean_wind";"day_-2_mean_wind";"day_-1_mean_wind";"day_0_mean_wind";"day_1_mean_wind";"day_2_mean_wind";"day_3_mean_wind";"day_-3_max_wind";"day_-2_max_wind";"day_-1_max_wind";"day_0_max_wind";"day_1_max_wind";"day_2_max_wind";"day_3_max_wind";"day_-3_max_gust";"day_-2_max_gust";"day_-1_max_gust";"day_0_max_gust";"day_1_max_gust";"day_2_max_gust";"day_3_max_gust";"day_-3_wind_direction_variance";"day_-2_wind_direction_variance";"day_-1_wind_direction_variance";"day_0_wind_direction_variance";"day_1_wind_direction_variance";"day_2_wind_direction_variance";"day_3_wind_direction_variance";"day_4_date";"day_4_mean_temp";"day_4_precip";"day_4_mean_wind";"day_4_max_wind";"day_4_max_gust";"day_4_wind_direction_variance"
"Quicken Loans National";"Congressional CC (Blue)";2016-06-20;2016-06-21;2016-06-22;2016-06-23;2016-06-24;2016-06-25;2016-06-26;79.8625;76.2022727272727;77.3291666666667;75.4083333333333;77.8;76.6444444444444;76.4666666666667;0;5.12;0;0.8;0;0;0;7.5125;8.67045454545454;8.13333333333333;7.11944444444444;7.87586206896552;8.07407407407407;5.15416666666667;12.7;20.7;18.4;12.7;18.4;11.5;10.4;NA;28.8;27.6;21.9;NA;NA;NA;0.218148902609484;0.793035707967431;0.375509744588799;0.299420430913472;0.35579977548196;0.28563887703548;0.677660593379729;NA;NA;NA;NA;NA;NA;NA
"World Golf Championships-Bridgestone Invitational";"Firestone CC (South)";2016-06-27;2016-06-28;2016-06-29;2016-06-30;2016-07-01;2016-07-02;2016-07-03;79.27;-2445.26666666667;-4125.42916666667;68.5625;70.5333333333333;65.175;66.7416666666667;0;0;0;0;0;0;0;7.30666666666667;7.82222222222222;5.59230769230769;2.31304347826087;9.51851851851852;2.9375;1.7875;13.8;13.8;11.5;6.9;17.3;8.1;4.6;19.6;21.9;18.4;NA;25.3;NA;NA;0.203767826214581;0.0258308608262365;0.0204640414611058;0.647705041899261;0.496523858000047;0.479105841094584;0.616793227031083;NA;NA;NA;NA;NA;NA;NA
"Barbasol Championship";"RTJ Trail (Grand National)";2016-07-11;2016-07-12;2016-07-13;2016-07-14;2016-07-15;2016-07-16;2016-07-17;76.0941176470588;75.731914893617;81.9958333333333;81.7555555555556;78.2;79.4763157894737;80.8464285714286;0.3;0.15;0.03;0;0;0.46;0;6.44705882352941;4.34893617021277;5.1;5.63846153846154;5.23571428571429;5.46486486486486;5.73214285714286;21.9;13.8;19.6;10.4;9.2;16.1;16.1;39.1;NA;26.5;19.6;NA;26.5;24.2;0.431752813638457;0.811112967117019;0.537834608965616;0.395490020642998;0.855695852741714;0.837150347997527;0.66445233072728;NA;NA;NA;NA;NA;NA;NA
"RBC Canadian Open";"Glen Abbey GC";2016-07-18;2016-07-19;2016-07-20;2016-07-21;2016-07-22;2016-07-23;2016-07-24;78.88125;69.334375;69.609375;78.228125;82.80625;80.803125;69.65;0;0;0;0;0;0;0;9.690625;7.5;5.415625;8.18125;7.85625;8.0375;6.496875;16.1;12.7;11.5;15;13.8;16.1;12.7;24.2;19.6;NA;20.7;24.2;25.3;NA;0.182080067600769;0.627640319702746;0.853118225366161;0.0439533787822155;0.115038761646108;0.260341096436145;0.118614384259236;NA;NA;NA;NA;NA;NA;NA
"PGA Championship";"Baltusrol GC";2016-07-25;2016-07-26;2016-07-27;2016-07-28;2016-07-29;2016-07-30;2016-07-31;81.0642857142857;82.1537313432836;-197.486111111111;81.7295774647887;78.0304347826087;77.3611111111111;75.9478260869565;1.36;0;0;0;1.67;0.86;0.42;2.16142857142857;5.5089552238806;0.819444444444444;3.18450704225352;2.12753623188406;1.02638888888889;4.0768115942029;15;17.3;9.2;13.8;12.7;11.5;12.7;51.8;21.9;NA;18.4;17.3;NA;17.3;0.274954262838315;0.142652494181125;0.206162471647771;0.512918749826018;0.184218028042133;0.24253137304235;0.571918740477388;NA;NA;NA;NA;NA;NA;NA
"Travelers Championship";"TPC River Highlands";2016-08-01;2016-08-02;2016-08-03;2016-08-04;2016-08-05;2016-08-06;2016-08-07;73.8228571428571;69.7;69.9375;72.7384615384615;77.1041666666667;81.7571428571429;80.025;0.31;0.77;0;0;0;0;0;4.46;5.98157894736842;4.121875;4.53076923076923;7.30833333333333;7.41785714285714;5.29583333333333;9.2;16.1;10.4;11.5;12.7;10.4;13.8;NA;21.9;NA;NA;24.2;17.3;20.7;0.293632268223179;0.155432698967222;0.662472327527772;0.809480318400492;0.430074292271382;0.499647407958481;0.339275242191493;NA;NA;NA;NA;NA;NA;NA
"John Deere Classic";"TPC Deere Run";2016-08-08;2016-08-09;2016-08-10;2016-08-11;2016-08-12;2016-08-13;2016-08-14;74.95;76.175;79.4708333333333;78.0674418604651;74.768253968254;75.4413793103448;73.8375;0;0.02;0;7.14;6.77;0;0;7.11666666666667;3.18333333333333;5.57916666666667;10.6697674418605;3.72222222222222;10.3827586206897;1.20833333333333;11.5;6.9;11.5;21.9;10.4;16.1;5.8;NA;NA;NA;33.4;NA;21.9;NA;0.294145882762156;0.638135616424306;0.298179151319385;0.686385737775207;0.725192066118067;0.0594960395626882;0.424986367984578;NA;NA;NA;NA;NA;NA;NA
"Wyndham Championship";"Sedgefield CC";2016-08-15;2016-08-16;2016-08-17;2016-08-18;2016-08-19;2016-08-20;2016-08-21;83.5458333333333;83.4625;80.3428571428571;80.2166666666667;78.0875;79.6461538461539;78.058064516129;0;0;0.61;0;0;0;0.73;6.15416666666667;7.50416666666667;7.625;5.15416666666667;5.625;3.87307692307692;8.08064516129032;13.8;12.7;20.7;12.7;9.2;9.2;16.1;NA;NA;26.5;17.3;NA;NA;24.2;0.319102465968314;0.0789643910418812;0.433930394005598;0.288029202521432;0.270293015750269;0.556859086998226;0.200863478084275;NA;NA;NA;NA;NA;NA;NA
"The Barclays";"Bethpage State Park (Black)";2016-08-22;2016-08-23;2016-08-24;2016-08-25;2016-08-26;2016-08-27;2016-08-28;74.1333333333333;70.368;75.2416666666667;75.7458333333333;82.4958333333333;78.2458333333333;76.3791666666667;0;0;0;0;0;0;0;10.1833333333333;5.68;7.1625;12.05;8.3625;7.3625;5.9625;17.3;13.8;16.1;19.6;13.8;15;11.5;26.5;NA;NA;28.8;19.6;19.6;NA;0.0232407847286304;0.68151320260494;0.57422342974415;0.0300224556293057;0.501736251796225;0.508265768456366;0.752494999698579;NA;NA;NA;NA;NA;NA;NA
"Deutsche Bank Championship";"TPC Boston";2016-08-30;2016-08-31;2016-09-01;2016-09-02;2016-09-03;2016-09-04;2016-09-05;65.048275862069;73.8357142857143;70.1;65.5076923076923;58.22;59.1973684210526;62.827027027027;0;0;0.42;0;0;0;0.52;2.64285714285714;5.97857142857143;1.58166666666667;3.06923076923077;0.86;3.12894736842105;10.3459459459459;9.2;11.5;5.8;9.2;6.9;13.8;17.3;NA;16.1;NA;NA;NA;23;36.8;0.537086690425958;0.282960043210746;0.527932949917993;0.102193533082016;0.0922099015024497;0.057703748004872;0.0153449090030072;NA;NA;NA;NA;NA;NA;NA
"BMW Championship";"Crooked Stick GC";2016-09-05;2016-09-06;2016-09-07;2016-09-08;2016-09-09;2016-09-10;2016-09-11;71.3647887323944;76.0875;78.2680555555555;75.2;73.6958333333333;69.5888888888889;61.6444444444444;0;0;0;1;0.86;1.67;0;5.17323943661972;7.4875;8.78055555555556;7.49861111111111;4.925;8.71111111111111;1.70555555555556;12.7;15;16.1;15;16.1;20.7;5.8;16.1;20.7;21.9;19.6;24.2;31.1;NA;0.499469787403276;0.0895267370902556;0.0288416253531746;0.241231213876507;0.821297753236418;0.23142204764168;0.365474448076428;NA;NA;NA;NA;NA;NA;NA
"TOUR Championship";"East Lake GC";2016-09-19;2016-09-20;2016-09-21;2016-09-22;2016-09-23;2016-09-24;2016-09-25;76.303125;77.6961538461538;78.4916666666667;78.15;77.2208333333333;78.475;78.875;0;0;0;0;0;0;0;4.98125;3.28846153846154;3.37916666666667;3.26086956521739;2.16666666666667;1.06666666666667;1.10833333333333;13.8;6.9;8.1;9.2;10.4;5.8;5.8;NA;NA;NA;NA;NA;NA;NA;0.0576616539248398;0.0820743931076184;0.194475848515942;0.187839064364944;0.124043226332928;0.0695518983201461;0.354296957950302;NA;NA;NA;NA;NA;NA;NA
"Safeway Open";"Silverado Resort and Spa North";2016-10-10;2016-10-11;2016-10-12;2016-10-13;2016-10-14;2016-10-15;2016-10-16;56.8678571428571;59.4892857142857;56.9931034482759;59.0333333333333;62.9127659574468;60.5264150943396;60.647619047619;0;0;0;0;1.16;0.53;1.6;6.34642857142857;8.4;6.41034482758621;6.15666666666667;9.80851063829787;7.98490566037736;7.25;15;17.3;15;13.8;20.7;21.9;21.9;21.9;NA;NA;NA;27.6;36.8;27.6;0.775094216977102;0.372825798656156;0.485156381294209;0.752765111426496;0.367107374839716;0.729023082960363;0.779993030105675;NA;NA;NA;NA;NA;NA;NA
"Sanderson Farms Championship";"CC of Jackson";2016-10-24;2016-10-25;2016-10-26;2016-10-27;2016-10-28;2016-10-29;2016-10-30;62.1375;59.8969696969697;67.3083333333333;69.944;69.4833333333333;69.1416666666667;68.7916666666667;0;0;0;0;0;0;0;1.5875;0.524242424242424;5.1;1.156;1.55;1.20833333333333;1.50416666666667;6.9;4.6;16.1;6.9;5.8;6.9;4.6;NA;NA;20.7;NA;NA;NA;NA;0.124563829179249;0.0108750185172916;0.73948172316039;0.378053347105727;0.331036715832992;0.559733286681626;0.487284933744475;NA;NA;NA;NA;NA;NA;NA
"Shriners Hospitals for Children Open";"TPC Summerlin";2016-10-31;2016-11-01;2016-11-02;2016-11-03;2016-11-04;2016-11-05;2016-11-06;65.7;-357.533333333333;65.4208333333333;69.2;70.6583333333333;68.3416666666667;66.1625;0;0;0;0;0;0;0;7.87916666666667;5.32608695652174;13.4416666666667;10.8958333333333;6.4;4.1;4.77391304347826;18.4;11.5;17.3;18.4;15;10.4;10.4;27.6;NA;26.5;25.3;20.7;NA;NA;0.713397619216523;0.531781881171423;0.00756313549635268;0.127358157618492;0.233774767012037;0.446567438258913;0.537879449030598;NA;NA;NA;NA;NA;NA;NA
"The RSM Classic";"Sea Island Resort (Seaside)";2016-11-14;2016-11-15;2016-11-16;2016-11-17;2016-11-18;2016-11-19;2016-11-20;54.2771428571429;57.1705882352941;59.4708333333333;55.5548387096774;55.3486111111111;61.259375;51.8166666666667;0;0;0;0;0;0;0;4.92352941176471;3.33823529411765;3.46666666666667;1.19354838709677;0.915277777777778;7.075;8.03333333333333;9.2;6.9;9.2;6.9;8.1;12.7;16.1;NA;NA;NA;NA;NA;20.7;23;0.267343683969598;0.369061007027126;0.455942557735972;0.264598060111175;0.223346080117007;0.152533424485031;0.124633781122413;NA;NA;NA;NA;NA;NA;NA
"SBS Tournament of Champions";"Plantation Course at Kapalua";2017-01-02;2017-01-03;2017-01-04;2017-01-05;2017-01-06;2017-01-07;2017-01-08;71.7384615384615;72.2;72.65;71.9272727272727;71;71.15;71.6;0;0;0;0;0;0;0;14.4461538461538;13.625;12.6666666666667;12.7727272727273;14.3;13.2416666666667;13.2;17.3;17.3;17.3;19.6;17.3;17.3;17.3;NA;NA;23;NA;NA;25.3;25.3;0.0125633995770265;0.0497097620209469;0.0891483218167378;0.153642197981466;0.0353143979794882;0.0456239822104632;0.0103864865800092;NA;NA;NA;NA;NA;NA;NA
